Study_Hours,Attendance,Previous_Marks,Assignment,Internal_Marks,Result
2,46,82,70,50,Fail
4,53,82,48,78,Pass
9,50,72,89,37,Pass
1,50,48,64,67,Fail
10,46,70,60,80,Pass
9,71,49,92,72,Pass
5,96,90,35,83,Pass
3,89,62,78,52,Pass
3,58,83,78,41,Pass
2,69,41,80,89,Fail
6,83,51,40,81,Pass
8,79,42,83,40,Pass
9,63,88,81,71,Pass
4,90,39,40,77,Pass
4,94,53,45,89,Pass
4,100,41,83,52,Pass
8,85,88,81,45,Pass
6,67,48,69,79,Pass
2,83,75,56,69,Pass
4,55,64,83,52,Pass
9,59,78,76,88,Pass
1,59,87,39,86,Fail
6,70,52,43,48,Pass
10,90,55,62,76,Pass
8,70,91,93,44,Pass
5,53,50,68,82,Pass
10,72,92,86,58,Pass
4,53,67,98,40,Pass
1,100,42,54,75,Fail
3,95,78,89,73,Pass
2,69,59,94,68,Fail
5,80,90,36,78,Pass
2,88,91,69,84,Pass
6,52,53,90,45,Pass
8,45,81,68,67,Pass
3,77,93,48,90,Pass
5,98,75,99,73,Pass
4,54,58,55,69,Pass
9,45,73,76,66,Pass
1,52,94,81,91,Pass
5,60,38,65,91,Pass
10,50,40,97,87,Pass
2,93,69,51,43,Fail
8,80,45,68,68,Pass
10,72,48,60,80,Pass
5,70,77,82,63,Pass
9,73,42,66,49,Pass
2,66,36,64,72,Fail
4,45,39,42,49,Fail
2,47,90,77,39,Fail
9,60,52,97,48,Pass
9,53,81,95,50,Pass
8,96,61,59,41,Pass
2,87,62,80,62,Pass
7,74,90,41,78,Pass
2,48,60,78,86,Fail
2,60,47,59,69,Fail
8,53,62,58,52,Pass
8,60,90,44,63,Pass
9,51,38,36,40,Pass
4,55,61,97,65,Pass
4,100,60,42,45,Pass
7,45,59,68,94,Pass
8,63,62,97,44,Pass
4,63,48,42,72,Pass
9,48,82,75,38,Pass
1,82,65,99,93,Pass
9,55,38,100,40,Pass
3,49,73,43,78,Pass
4,70,42,66,72,Pass
10,47,74,45,61,Pass
10,81,68,75,94,Pass
5,58,77,75,50,Pass
5,70,43,73,64,Pass
6,93,94,44,35,Pass
8,84,71,47,39,Pass
9,58,67,68,43,Pass
6,49,91,66,58,Pass
5,55,63,73,74,Pass
9,45,77,73,94,Pass
2,53,51,49,91,Fail
2,92,70,54,52,Pass
5,83,48,78,48,Pass
5,77,66,67,92,Pass
1,50,75,89,88,Fail
5,47,35,77,84,Pass
3,85,51,55,82,Pass
8,80,80,89,70,Pass
1,52,39,54,69,Fail
1,98,58,53,62,Fail
3,47,54,81,92,Pass
1,67,48,66,77,Fail
2,67,84,87,74,Pass
3,60,90,55,86,Pass
3,71,36,57,82,Fail
6,95,94,87,86,Pass
4,62,45,48,59,Fail
1,99,65,63,47,Fail
8,67,54,64,49,Pass
1,87,47,86,56,Fail
1,95,90,95,95,Pass
